row_index,language,subject,true_queue,pred_queue,queue_correct,true_priority,pred_priority,priority_correct,true_answer,pred_reply_draft
10,en,MacBook Air Issue,Customer Service,Returns and Exchanges,False,high,high,True,"Dear <name>,

Thank you for reaching out to us regarding the issue with your MacBook Air M1. We sincerely apologize for the inconvenience this has caused. We understand your disappointment and are committed to resolving this promptly.

To initiate the replacement or refund process, please contact our returns department at <customer_service_email> with your order details. Additionally, you can visit our store with the device and your purchase receipt. Our team will ensure that you receive what you need as swiftly as possible.

Should you have any more questions or require further assistance, feel free to get in touch at your convenience. 

Thank you for your patience and understanding.

Best regards,
Tech Online Store Customer Support","Dear <name>, thank you for reaching out and we sincerely apologize for the inconvenience caused by the non-functional battery on your MacBook Air M1. Since the troubleshooting steps you have already taken have not resolved the issue, we will be escalating your case immediately to arrange either a replacement device or a full refund as per your preference. A member of our Returns and Exchanges team will contact you within 1 business day at your provided email or phone number to guide you through the next steps. We appreciate your patience and assure you that resolving this matter promptly is our top priority."
11,fr,Assistance requise : problèmes de logiciel et de serveur,Technical Support,IT Support,False,high,high,True,"Cher <name>,

Merci de nous avoir contactés concernant vos problèmes urgents de logiciel et de serveur. Nous comprenons l'importance de traiter ces questions rapidement. Notre équipe examine vos préoccupations sous le numéro de référence <acc_num> dans notre système de tickets.

Nous évaluons actuellement les solutions et stratégies potentielles pour résoudre les défis d'intégration et de performance du serveur auxquels vous êtes confrontés. Vous pouvez vous attendre à une réponse détaillée avec nos actions proposées sous peu.

Votre patience et votre coopération sont grandement appréciées. N'hésitez pas à nous contacter si vous avez d'autres détails à fournir ou si vous avez d'autres questions.

Cordialement,
Équipe de support client","Cher(e) <name>, nous vous remercions de nous avoir contactés et nous avons bien pris note de votre demande urgente concernant les problèmes d'intégration logicielle et de performance serveur référencée sous le numéro <acc_num>. Notre équipe technique a été informée de l'urgence de votre situation et prendra en charge votre dossier en priorité dans les plus brefs délais. Un ingénieur spécialisé vous contactera très prochainement afin d'analyser les défis techniques rencontrés et de vous proposer des solutions adaptées à vos besoins. Nous vous remercions de votre patience et restons à votre entière disposition pour toute information complémentaire."
12,pt,Modificações Necessárias para o Sistema de Chamadas de TI,Customer Service,IT Support,False,high,medium,False,"Caro <name>,

Obrigado por entrar em contato sobre as modificações no sistema de tickets de TI. Agradecemos o feedback do seu cliente, <name>, e estamos ansiosos para ajudar a melhorar a eficiência do sistema. Eu entrarei em contato com você pelo número fornecido, <tel_num>, para discutir os ajustes específicos necessários. Por favor, nos informe um horário conveniente para a ligação. Estou ansioso para trabalharmos juntos nisso.

Atenciosamente,
<Cliente de Suporte>","Obrigado por entrar em contato conosco, <name>. Recebemos sua solicitação de modificações no sistema de tickets de TI e estamos ansiosos para entender melhor as necessidades do seu cliente. Um membro da nossa equipe entrará em contato com você pelo número <tel_num> em breve para discutir os ajustes necessários em detalhes. Agradecemos a sua paciência e colaboração."
13,es,Solicitud de personalización para el flujo de trabajo de Jira Software,Product Support,IT Support,False,high,medium,False,"Hola <name>, Gracias por tu consulta. Hemos anotado tu solicitud de personalización del flujo de trabajo de Jira Software. Nuestro equipo la evaluará y te responderá pronto. Saludos cordiales.","Hola, gracias por ponerse en contacto con nuestro equipo de soporte. Hemos recibido su solicitud de personalización del flujo de trabajo en Jira Software 8.20 para alinearlo con sus metodologías ágiles. Un especialista se pondrá en contacto con usted a la brevedad para recopilar los detalles necesarios y trabajar en la configuración adecuada. Quedamos a su disposición para cualquier consulta adicional."
14,en,Urgent Request for Assistance,Customer Service,Sales and Pre-Sales,False,high,medium,False,"Subject: Re: Urgent Request for Assistance

Hello <name>,

Thank you for contacting us about the IT Consulting Services to enhance your IT infrastructure and server management. We recognize the urgency and are ready to assist you in improving the efficiency of your client's systems. Our team will get in touch with you shortly to go over your needs in detail and offer the necessary assistance.

Best wishes,

IT Services Customer Support","Thank you for reaching out to us regarding IT Consulting Services for your infrastructure and server management needs. We understand the importance of optimizing your client's systems and would be happy to discuss how our services can help you achieve your goals. One of our IT consulting specialists will be in touch with you shortly to better understand your requirements and provide tailored solutions. In the meantime, please feel free to share any additional details about your current infrastructure or specific challenges you are facing."
15,es,Consulta sobre la disponibilidad del MacBook Air M1,Customer Service,Sales and Pre-Sales,False,medium,medium,True,"Asunto: Re: Consulta sobre la disponibilidad del MacBook Air M1

Estimado <name>,

Gracias por contactarnos sobre el MacBook Air M1. Actualmente, la disponibilidad de este modelo depende de nuestros niveles de stock, que generalmente fluctúan debido a la demanda. Recomendamos visitar nuestro sitio web o la tienda más cercana para obtener la información más actualizada sobre el stock.

En cuanto a las opciones de entrega, ofrecemos envío estándar y exprés, con tiempos de entrega estimados proporcionados al momento de pagar. Una vez que seleccione una opción de envío, recibirá un número de seguimiento para monitorear el progreso de su pedido.

Para más ayuda, no dude en responder a este correo electrónico o llamarnos directamente. Estamos aquí para ayudarle y esperamos asistirle en la compra del MacBook Air M1.

Atentamente,
Equipo de atención al cliente","Estimado/a cliente, gracias por ponerse en contacto con nosotros y por su interés en el MacBook Air M1. Nos complace informarle que uno de nuestros asesores de ventas revisará la disponibilidad actual del producto y las opciones de entrega disponibles para su zona, y se pondrá en contacto con usted a la brevedad posible a través del correo electrónico o teléfono que nos ha proporcionado. Le pedimos disculpas por cualquier inconveniente y le aseguramos que haremos todo lo posible para atender su solicitud con la mayor rapidez. Gracias por elegirnos y no dude en contactarnos si tiene alguna pregunta adicional."
16,fr,Besoin de conseils sur l'optimisation du système,Customer Service,IT Support,False,low,medium,False,"Cher <name>,

Merci de nous avoir contactés concernant l'optimisation du système et la gestion des serveurs. Voici quelques meilleures pratiques : mettez régulièrement à jour votre logiciel, surveillez les performances du système à l'aide d'outils d'analyse, gérez les ressources efficacement en équilibrant les charges, et veillez à des protocoles de sécurité robustes. De plus, des formations régulières pour votre équipe sur les nouvelles technologies peuvent améliorer l'efficacité. Si vous avez besoin de plus d'assistance, n'hésitez pas à nous contacter.

Cordialement,
Agent du Service Desk","Cher(e) <name>, merci de nous avoir contactés concernant l'optimisation des performances de votre système et la gestion de serveur. Nous avons bien reçu votre demande et notre équipe de conseillers en informatique sera ravie de vous apporter son expertise dans ce domaine. Un spécialiste vous contactera très prochainement au numéro que vous avez indiqué afin de discuter de vos besoins spécifiques et de vous proposer les meilleures pratiques adaptées à votre environnement. Nous vous remercions de votre confiance et restons à votre disposition pour toute question complémentaire."
17,de,Anfrage nach Verbesserungen: Aktualisierung der AWS-Infrastruktur Einstellungen,IT Support,IT Support,True,high,medium,False,"Sehr geehrte(r) <name>,

vielen Dank, dass Sie sich bezüglich Ihrer AWS-Infrastruktureinstellungen an uns gewendet haben. Wir sind verpflichtet, Ihnen zu helfen, die Sicherheit zu verbessern und die Kosteneffizienz zu steigern. Unser Team wird Ihre aktuelle Konfiguration analysieren und Ihnen maßgeschneiderte Empfehlungen für Optimierungen und Sicherheitsverbesserungen geben.

Bitte lassen Sie uns Ihre Verfügbarkeit für eine Diskussion wissen oder teilen Sie uns gerne zusätzliche Informationen mit, die uns in diesem Prozess unterstützen könnten.

Wir freuen uns darauf, Ihnen zu helfen und zu Ihren Operationen beizutragen.

Mit freundlichen Grüßen,
IT-Services-Kundensupport-Team","Sehr geehrte/r <name>, vielen Dank für Ihre detaillierte Anfrage bezüglich der Optimierung Ihrer AWS-Infrastruktureinstellungen – wir freuen uns, Ihnen bei der Verbesserung der Sicherheit und Kosteneffizienz Ihrer Umgebung behilflich zu sein. Unser Team wird Ihre aktuelle Konfiguration sorgfältig analysieren und Ihnen geeignete Anpassungsempfehlungen unterbreiten. Ein zuständiger Spezialist wird sich in Kürze mit Ihnen in Verbindung setzen, um einen geeigneten Termin für eine ausführliche Besprechung zu vereinbaren. Sollten Sie in der Zwischenzeit weitere Informationen oder Unterlagen zu Ihrer bestehenden Infrastruktur bereitstellen können, würde dies den Prozess erheblich beschleunigen."
18,en,Return Request: Ink Tank Leakage Issue,Returns and Exchanges,Returns and Exchanges,True,medium,high,False,"Dear <name>,

We regret to hear about the issue with your Epson EcoTank ET-4760 printer. To proceed with your return request, please ensure you have the product ready for return and any associated documentation. We will initiate the return process and facilitate a replacement or refund as per your preference. Kindly expect an update soon regarding return instructions. For immediate assistance, you can reach us at [customer service contact options]. 

Thank you for your patience and understanding.

Best regards,
Customer Support Team","Dear <name>, thank you for reaching out to us regarding the ink tank leakage issue with your Epson EcoTank ET-4760 printer (Order #<order_number>). We sincerely apologize for the inconvenience this defect has caused during your initial setup experience. We have escalated your case as a priority and will be initiating a return and replacement/refund process on your behalf — a member of our Returns team will contact you shortly at <tel_num> to guide you through the next steps. In the meantime, please avoid using the printer to prevent any further damage or safety concerns."
19,de,Hilfe benötigt für MacBook Air M1 Tastatur,Product Support,Product Support,True,medium,high,False,"Sehr geehrter <name>,

vielen Dank, dass Sie den Tech Online Store Kundensupport kontaktiert haben. Es tut mir leid zu hören, dass es ein Problem mit der Tastatur Ihres MacBook Air M1 gibt.

Um das zu lösen, empfehlen wir, den System Management Controller (SMC) als zusätzlichen Fehlerbehebungsschritt zurückzusetzen. Wenn das Problem weiterhin besteht, muss Ihre Tastatur möglicherweise repariert werden.

Bitte besuchen Sie unser nächstes Servicecenter oder kontaktieren Sie uns, um eine Inspektion und Reparatur zu arrangieren. Wenn Ihr Gerät noch unter Garantie steht, könnte die Reparatur abgedeckt sein. Halten Sie bitte Ihre Kontonummer <acc_num> und die Gerätenummer bereit, um Unterstützung zu erhalten.

Zögern Sie nicht, uns unter <tel_num> für weitere Unterstützung anzurufen. Wir sind hier, um Ihnen zu helfen.

Mit freundlichen Grüßen,
Tech Online Store Kundensupport","Sehr geehrte(r) Kunde/Kundin, vielen Dank für Ihre Nachricht und wir verstehen, wie wichtig Ihr MacBook Air M1 für Ihren beruflichen und privaten Alltag ist. Wir empfehlen Ihnen als nächsten Schritt, einen SMC-Reset (System Management Controller) sowie einen NVRAM-Reset durchzuführen, da diese Maßnahmen häufig tastaturspezifische Probleme beheben können. Sollte das Problem danach weiterhin bestehen, werden wir gemeinsam mit Ihnen prüfen, ob eine Reparatur oder ein Austausch der Tastatur im Rahmen der Garantie oder unserer Serviceleistungen möglich ist. Bitte kontaktieren Sie uns telefonisch oder per E-Mail, damit wir Ihren Fall individuell und so schnell wie möglich bearbeiten können."
20,en,"Hello, I am creating a ticket to initiate...",Product Support,IT Support,False,low,low,True,"Dear <name>,

Thank you for your inquiry. We are proceeding with the upgrade of Visual Studio Code to the latest available version.

Best regards,
<company_name>","Thank you for submitting your Change Request to upgrade Visual Studio Code from version 1.70 to the latest available version. We have received your request and logged it with a low priority level. Our IT Support team will review and schedule the update accordingly, and we will keep you informed of the progress. Please don't hesitate to reach out if you have any additional questions or requirements."
21,de,Unterstützung erforderlich: Langsame Internetverbindung über Cisco ISR4331,IT Support,IT Support,True,low,high,False,"Sehr geehrte(r) <name>,

Vielen Dank, dass Sie uns kontaktiert haben. Wir verstehen, wie wichtig eine stabile Internetverbindung für Ihre Abläufe ist, und wir setzen uns dafür ein, Ihr Problem schnell zu lösen.

Bitte stellen Sie die Benutzerberichte und Diagnosen für eine gründliche Analyse bereit. Überprüfen Sie auch, ob kürzlich Änderungen an den Netzwerkkonfigurationen oder Software-Updates vorgenommen wurden, die möglicherweise die Routerleistung beeinträchtigt haben.

Stellen Sie in der Zwischenzeit sicher, dass die Firmware Ihres Cisco ISR4331 auf dem neuesten Stand ist, da veraltete Versionen manchmal Leistungsprobleme verursachen können. Ziehen Sie auch in Betracht, eine Überprüfung der aktuellen Bandbreitennutzung durchzuführen, um mögliche Engpässe zu identifizieren.

Unser technisches Team wird sich in Kürze mit Ihnen in Verbindung setzen, um eine tiefere Untersuchung durchzuführen und eine Lösung anzubieten.

Vielen Dank für Ihre Geduld und Zusammenarbeit.

Mit freundlichen Grüßen,
Kundenserviceteam","Sehr geehrte(r) <name>, vielen Dank für Ihre detaillierte Beschreibung des Problems mit Ihrem Cisco ISR4331-Router. Wir verstehen, dass die anhaltende Verlangsamung Ihrer Internetverbindung erhebliche Auswirkungen auf Ihre Geschäftsabläufe hat, und behandeln Ihr Anliegen daher mit hoher Priorität. Ein Mitglied unseres IT-Support-Teams wird sich in Kürze mit Ihnen in Verbindung setzen, um eine eingehende Diagnose durchzuführen und gemeinsam mit Ihnen eine geeignete Lösung zu erarbeiten. Bitte halten Sie die Benutzerdaten und Diagnoseinformationen bereit, da diese für die weitere Fehleranalyse sehr hilfreich sein werden."
22,en,Network Slow Connectivity Issue Reported with Cisco Router ISR4331 Device,Technical Support,Technical Support,True,medium,high,False,"Hello <name>,

Thank you for reaching out regarding the network issue with your Cisco Router ISR4331. Please start by checking the configuration settings for any misconfigurations and ensure the firmware is up to date. You might also want to reboot the router to reset connections. If the issue persists, inspecting logs for any errors could help. We recommend contacting your network administrator or a Cisco certified technician for specialized assistance. Let us know if you need further help.

Best regards,
Service Desk Team","Thank you for reaching out and providing those details regarding the connectivity issues with your Cisco ISR4331 router. We understand the impact that slow network performance can have on your users and we are prioritizing this case accordingly. A technical specialist will be in touch with you shortly to walk through advanced diagnostics, including a review of the router's current configuration, interface statistics, and logs to help isolate the root cause. In the meantime, if you are able to gather outputs from commands such as 'show interfaces', 'show ip interface brief', and 'show logging', please have those ready as they will greatly assist our troubleshooting process."
23,en,"Hello Customer Support Team, I am facing a...",Technical Support,Product Support,False,low,medium,False,"Hello <name>,

We appreciate your reaching out to us. We apologize for the trouble. Please attempt to restart your laptop or update the drivers. Should the problem continue, please contact us with <order_num> to discuss repair options.

Best regards,
Customer Support","Thank you for reaching out to us regarding the keyboard issue with your Lenovo IdeaPad 5. We understand how frustrating it can be when keys are not functioning properly, and we are sorry for the inconvenience. Our team is looking into your order and will get back to you shortly with the best course of action, which may include troubleshooting steps, a repair, or a replacement. Please don't hesitate to provide any additional details that might help us resolve this matter more quickly."
